symptom,code,description,source_name,source_link,root_url
non-productive cough,C0850149,A cough that does not produce phlegm or mucus. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0850149
wheezing,C0043144,A high-pitched whistling sound associated with labored breathing. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0043144
haemoptysis,C0019079,"Coughing up (expectoration) of blood or blood-streaked sputum from the larynx, trachea, bronchi, or lungs. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019079
distress respiratory,C0476273,"Respiratory distress is objectively observable as the physical or emotional consequences from the experience of dyspnea. The physical presentation of respiratory distress is generally referred to as labored breathing, while the sensation of respiratory distress is called shortness of breath or dyspnea. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0476273
tachypnea,C0231835,Very rapid breathing. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0231835
malaise,C0231218,"A feeling of general discomfort, weakness, or lack of health. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0231218
night sweat,C0028081,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0028081
shortness of breath,C0392680,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0392680
orthopnea,C0085619,"A sensation of breathlessness in the recumbent position, relieved by sitting or standing. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085619
jugular venous distention,C0240100,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0240100
rale,C0034642,"Crackles are discontinuous, explosive, and nonmusical adventitious lung sounds normally heard in inspiration and sometimes during expiration. Crackles are usually classified as fine and coarse crackles based on their duration, loudness, pitch, timing in the respiratory cycle, and relationship to coughing and changing body position. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034642
dyspnea,C0013404,"Difficult or labored breathing. Dyspnea is a subjective feeling only the patient can rate, e.g., on a Borg scale. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0013404
cough,C0010200,"A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0010200
wheezing,C0043144,A high-pitched whistling sound associated with labored breathing. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0043144
dysarthria,C0013362,"Dysarthric speech is a general description referring to a neurological speech disorder characterized by poor articulation. Depending on the involved neurological structures, dysarthria may be further classified as spastic, flaccid, ataxic, hyperkinetic and hypokinetic, or mixed. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0013362
asthenia,C0004093,A state characterized by a feeling of weakness and loss of strength leading to a generalized weakness of the body. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0004093
speech slurred,C0234518,Abnormal coordination of muscles involved in speech. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0234518
facial paresis,C0427055,Reduced strength of one or more muscles innervated by the facial nerve (the seventh cranial nerve). [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0427055
hemiplegia,C0018991,"Paralysis (complete loss of muscle function) in the arm, leg, and in some cases the face on one side of the body. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0018991
unresponsiveness,C0241526,"Etiology
Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (910)
Diagnosis
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (916)
Therapy
Study protocol of a phase 2, dual-centre, randomised, controlled trial evaluating the effectiveness of probiotic and egg oral immunotherapy at inducing desensitisation or sustained unresponsiveness (remission) in participants with egg allergy compared with placebo (Probiotic Egg Allergen Oral Immunotherapy for Treatment of Egg Allergy: PEAT study).
Loke P,
Chebar Lozinsky A,
Orsini F,
Wong LS,
Leung AS,
Tham EH,
Lopata AL,
Shek LP,
Tang ML;
PEAT study team.
BMJ Open
2021 Jul 7;11(7):e044331.
doi: 10.1136/bmjopen-2020-044331.
PMID: 34233966Free PMC Article

Alpha band frontal connectivity is a state-specific electroencephalographic correlate of unresponsiveness during exposure to dexmedetomidine and propofol.
Kallionpää RE,
Valli K,
Scheinin A,
Långsjö J,
Maksimow A,
Vahlberg T,
Revonsuo A,
Scheinin H,
Mashour GA,
Li D
Br J Anaesth
2020 Oct;125(4):518-528.
Epub 2020 Aug 7
doi: 10.1016/j.bja.2020.05.068.
PMID: 32773216

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997
See all (1148)
Prognosis
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (675)
Clinical prediction guides
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Alpha band frontal connectivity is a state-specific electroencephalographic correlate of unresponsiveness during exposure to dexmedetomidine and propofol.
Kallionpää RE,
Valli K,
Scheinin A,
Långsjö J,
Maksimow A,
Vahlberg T,
Revonsuo A,
Scheinin H,
Mashour GA,
Li D
Br J Anaesth
2020 Oct;125(4):518-528.
Epub 2020 Aug 7
doi: 10.1016/j.bja.2020.05.068.
PMID: 32773216

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582
See all (941)
",Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.,/pubmed/32697509,https://www.ncbi.nlm.nih.gov/medgen/?term=C0241526
seizure,C0036572,A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0036572
numbness,C0028643,A loss of the sensation of feeling in an area of the body. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0028643
wheezing,C0043144,A high-pitched whistling sound associated with labored breathing. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0043144
cough,C0010200,"A sudden, audible expulsion of air from the lungs through a partially closed glottis, preceded by inhalation. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0010200
shortness of breath,C0392680,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0392680
chest tightness,C0232292,An unpleasant sensation of tightness or pressure in the chest. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0232292
non-productive cough,C0850149,A cough that does not produce phlegm or mucus. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0850149
pleuritic pain,C0008033,"Pleuritic chest pain is characterized by sudden and intense sharp, stabbing, or burning pain in the chest when inhaling and exhaling. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0008033
productive cough,C0239134,A cough that produces phlegm or mucus. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0239134
symptom aggravating factors,C0436331,An aggravating factor is defined as an external factor that leads to a sign or symptom that is already present getting worse or becoming more severe. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0436331
distress respiratory,C0476273,"Respiratory distress is objectively observable as the physical or emotional consequences from the experience of dyspnea. The physical presentation of respiratory distress is generally referred to as labored breathing, while the sensation of respiratory distress is called shortness of breath or dyspnea. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0476273
pain chest,C0008031,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the chest. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0008031
st segment elevation,C0520886,An electrocardiographic anomaly in which the ST segment is observed to be located superior to the isoelectric line. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0520886
sweat,C0038990,"A watery secretion by the sweat glands that is primarily composed of salt, urea and minerals. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0038990
sweating increased,C0700590,Profuse sweating. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0700590
shortness of breath,C0392680,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0392680
st segment depression,C0520887,An electrocardiographic anomaly in which the ST segment is observed to be located inferior to the isoelectric line. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0520887
hypokinesia,C0086439,"Abnormally diminished motor activity. In contrast to paralysis, hypokinesia is not characterized by a lack of motor strength, but rather by a poverty of movement. The typical habitual movements (e.g., folding the arms, crossing the legs) are reduced in frequency. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0086439
angina pectoris,C0002962,Paroxysmal chest pain that occurs with exertion or stress and is related to myocardial ischemia. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0002962
pressure chest,C0438716,"Diagnosis
Early symptom-relief after valvulotomy in mitral stenosis indicates role of lobeline-sensitive intrapulmonary receptors.
Anand A,
Roy A,
Bhargava B,
Raj H,
Barde PB,
Vijayan VK
Respir Physiol Neurobiol
2009 Dec 31;169(3):297-302.
Epub 2009 Sep 19
doi: 10.1016/j.resp.2009.09.007.
PMID: 19770072
See all (1)
",Early symptom-relief after valvulotomy in mitral stenosis indicates role of lobeline-sensitive intrapulmonary receptors.,/pubmed/19770072,https://www.ncbi.nlm.nih.gov/medgen/?term=C0438716
t wave inverted,C0520888,An inversion of the T-wave (which is normally positive). [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0520888
orthopnea,C0085619,"A sensation of breathlessness in the recumbent position, relieved by sitting or standing. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085619
rale,C0034642,"Crackles are discontinuous, explosive, and nonmusical adventitious lung sounds normally heard in inspiration and sometimes during expiration. Crackles are usually classified as fine and coarse crackles based on their duration, loudness, pitch, timing in the respiratory cycle, and relationship to coughing and changing body position. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034642
chest tightness,C0232292,An unpleasant sensation of tightness or pressure in the chest. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0232292
presence of q wave,C1305739,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C1305739
palpitation,C0030252,"A sensation that the heart is pounding or racing, which is a non-specific sign but may be a manifestation of arrhythmia. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030252
dyspnea,C0013404,"Difficult or labored breathing. Dyspnea is a subjective feeling only the patient can rate, e.g., on a Borg scale. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0013404
chest discomfort,C0235710,"Etiology
Limited reliability of experts' assessment of telephone triage in primary care patients with chest discomfort.
Erkelens DC,
Rutten FH,
Wouters LT,
de Groot E,
Damoiseaux RA,
Hoes AW,
Zwart DL
J Clin Epidemiol
2020 Nov;127:117-124.
Epub 2020 Jul 28
doi: 10.1016/j.jclinepi.2020.07.016.
PMID: 32730853

Chest discomfort at night and risk of acute coronary syndrome: cross-sectional study of telephone conversations.
Wouters LT,
Zwart DL,
Erkelens DC,
Cheung NS,
de Groot E,
Damoiseaux RA,
Hoes AW,
Rutten FH
Fam Pract
2020 Sep 5;37(4):473-478.
doi: 10.1093/fampra/cmaa005.
PMID: 31996901Free PMC Article

Are there gender disparities in symptom presentation or triage of patients with chest discomfort at primary care out-of-hours services? An observational study.
van der Meer MG,
Appelman Y,
Rutten KHG,
van der Graaf Y,
Nathoe HM,
Doevendans PA,
Smit M,
Verheij E,
Botermans A,
Rutten FH
BMJ Open
2019 Nov 19;9(11):e031613.
doi: 10.1136/bmjopen-2019-031613.
PMID: 31748303Free PMC Article

Utilization of stress testing for low-risk patients with chest discomfort in the emergency department.
Krishnan S,
Venn R,
Blumenthal DM,
Bhambhani V,
Gewirtz H,
Weiner RB,
Nagurney JT,
Wasfy JH
J Nucl Cardiol
2019 Oct;26(5):1642-1646.
Epub 2018 Jan 26
doi: 10.1007/s12350-017-1172-9.
PMID: 29374373

Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study.
Pannu J,
DePew ZS,
Mullon JJ,
Daniels CE,
Hagen CE,
Maldonado F
J Bronchology Interv Pulmonol
2014 Oct;21(4):306-13.
doi: 10.1097/LBR.0000000000000095.
PMID: 25321449
See all (455)
Diagnosis
Interactional implications of either/or-questions during telephone triage of callers with chest discomfort in out-of-hours primary care: A conversation analysis.
Erkelens DC,
van Charldorp TC,
Vinck VV,
Wouters LT,
Damoiseaux RA,
Rutten FH,
Zwart DL,
de Groot E
Patient Educ Couns
2021 Feb;104(2):308-314.
Epub 2020 Jul 15
doi: 10.1016/j.pec.2020.07.011.
PMID: 32693956

Accuracy of telephone triage in primary care patients with chest discomfort: a cross-sectional study.
Wouters LT,
Rutten FH,
Erkelens DC,
De Groot E,
Damoiseaux RA,
Zwart DL
Open Heart
2020 Aug;7(2)
doi: 10.1136/openhrt-2020-001376.
PMID: 32958556Free PMC Article

Chest discomfort at night and risk of acute coronary syndrome: cross-sectional study of telephone conversations.
Wouters LT,
Zwart DL,
Erkelens DC,
Cheung NS,
de Groot E,
Damoiseaux RA,
Hoes AW,
Rutten FH
Fam Pract
2020 Sep 5;37(4):473-478.
doi: 10.1093/fampra/cmaa005.
PMID: 31996901Free PMC Article

Are there gender disparities in symptom presentation or triage of patients with chest discomfort at primary care out-of-hours services? An observational study.
van der Meer MG,
Appelman Y,
Rutten KHG,
van der Graaf Y,
Nathoe HM,
Doevendans PA,
Smit M,
Verheij E,
Botermans A,
Rutten FH
BMJ Open
2019 Nov 19;9(11):e031613.
doi: 10.1136/bmjopen-2019-031613.
PMID: 31748303Free PMC Article

Utilization of stress testing for low-risk patients with chest discomfort in the emergency department.
Krishnan S,
Venn R,
Blumenthal DM,
Bhambhani V,
Gewirtz H,
Weiner RB,
Nagurney JT,
Wasfy JH
J Nucl Cardiol
2019 Oct;26(5):1642-1646.
Epub 2018 Jan 26
doi: 10.1007/s12350-017-1172-9.
PMID: 29374373
See all (647)
Therapy
Minimal clinically important difference for chest discomfort in patients undergoing pleural interventions.
Dahlberg GJ,
Maldonado F,
Chen H,
Rickman O,
Roller L,
Walston C,
Katsis J,
Lentz R
BMJ Open Respir Res
2020 Dec;7(1)
doi: 10.1136/bmjresp-2020-000667.
PMID: 33293362Free PMC Article

Chest discomfort at night and risk of acute coronary syndrome: cross-sectional study of telephone conversations.
Wouters LT,
Zwart DL,
Erkelens DC,
Cheung NS,
de Groot E,
Damoiseaux RA,
Hoes AW,
Rutten FH
Fam Pract
2020 Sep 5;37(4):473-478.
doi: 10.1093/fampra/cmaa005.
PMID: 31996901Free PMC Article

Comparing the effectiveness of two different decision aids for stable chest discomfort.
Hinsberg L,
Marques F,
Leavitt L,
Skubisz C,
Sepucha K,
Wasfy JH
Coron Artery Dis
2018 May;29(3):230-236.
doi: 10.1097/MCA.0000000000000581.
PMID: 29084041

A 29-Year-Old Man With Nonproductive Cough, Exertional Dyspnea, and Chest Discomfort.
Halpenny D,
Suh J,
Garofano S,
Alpert J
Chest
2015 Sep;148(3):e80-e85.
doi: 10.1378/chest.14-2936.
PMID: 26324141

Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study.
Pannu J,
DePew ZS,
Mullon JJ,
Daniels CE,
Hagen CE,
Maldonado F
J Bronchology Interv Pulmonol
2014 Oct;21(4):306-13.
doi: 10.1097/LBR.0000000000000095.
PMID: 25321449
See all (441)
Prognosis
Accuracy of telephone triage in primary care patients with chest discomfort: a cross-sectional study.
Wouters LT,
Rutten FH,
Erkelens DC,
De Groot E,
Damoiseaux RA,
Zwart DL
Open Heart
2020 Aug;7(2)
doi: 10.1136/openhrt-2020-001376.
PMID: 32958556Free PMC Article

Utilization of stress testing for low-risk patients with chest discomfort in the emergency department.
Krishnan S,
Venn R,
Blumenthal DM,
Bhambhani V,
Gewirtz H,
Weiner RB,
Nagurney JT,
Wasfy JH
J Nucl Cardiol
2019 Oct;26(5):1642-1646.
Epub 2018 Jan 26
doi: 10.1007/s12350-017-1172-9.
PMID: 29374373

Could ten questions asked by the dispatch center predict the outcome for patients with chest discomfort?
Rawshani N,
Rawshani A,
Gelang C,
Herlitz J,
Bång A,
Andersson JO,
Gellerstedt M
Int J Cardiol
2016 Apr 15;209:223-5.
Epub 2016 Feb 2
doi: 10.1016/j.ijcard.2016.02.011.
PMID: 26897074

High-sensitivity cardiac troponin T: risk stratification tool in patients with symptoms of chest discomfort.
Mingels AM,
Joosen IA,
Versteylen MO,
Laufer EM,
Winkens MH,
Wildberger JE,
Van Dieijen-Visser MP,
Hofstra L
PLoS One
2012;7(4):e35059.
Epub 2012 Apr 25
doi: 10.1371/journal.pone.0035059.
PMID: 22558116Free PMC Article

The utility of gestures in patients with chest discomfort.
Marcus GM,
Cohen J,
Varosy PD,
Vessey J,
Rose E,
Massie BM,
Chatterjee K,
Waters D
Am J Med
2007 Jan;120(1):83-9.
doi: 10.1016/j.amjmed.2006.05.045.
PMID: 17208083
See all (314)
Clinical prediction guides
Minimal clinically important difference for chest discomfort in patients undergoing pleural interventions.
Dahlberg GJ,
Maldonado F,
Chen H,
Rickman O,
Roller L,
Walston C,
Katsis J,
Lentz R
BMJ Open Respir Res
2020 Dec;7(1)
doi: 10.1136/bmjresp-2020-000667.
PMID: 33293362Free PMC Article

Accuracy of telephone triage in primary care patients with chest discomfort: a cross-sectional study.
Wouters LT,
Rutten FH,
Erkelens DC,
De Groot E,
Damoiseaux RA,
Zwart DL
Open Heart
2020 Aug;7(2)
doi: 10.1136/openhrt-2020-001376.
PMID: 32958556Free PMC Article

Are there gender disparities in symptom presentation or triage of patients with chest discomfort at primary care out-of-hours services? An observational study.
van der Meer MG,
Appelman Y,
Rutten KHG,
van der Graaf Y,
Nathoe HM,
Doevendans PA,
Smit M,
Verheij E,
Botermans A,
Rutten FH
BMJ Open
2019 Nov 19;9(11):e031613.
doi: 10.1136/bmjopen-2019-031613.
PMID: 31748303Free PMC Article

Could ten questions asked by the dispatch center predict the outcome for patients with chest discomfort?
Rawshani N,
Rawshani A,
Gelang C,
Herlitz J,
Bång A,
Andersson JO,
Gellerstedt M
Int J Cardiol
2016 Apr 15;209:223-5.
Epub 2016 Feb 2
doi: 10.1016/j.ijcard.2016.02.011.
PMID: 26897074

Impact of pleural manometry on the development of chest discomfort during thoracentesis: a symptom-based study.
Pannu J,
DePew ZS,
Mullon JJ,
Daniels CE,
Hagen CE,
Maldonado F
J Bronchology Interv Pulmonol
2014 Oct;21(4):306-13.
doi: 10.1097/LBR.0000000000000095.
PMID: 25321449
See all (286)
",Limited reliability of experts' assessment of telephone triage in primary care patients with chest discomfort.,/pubmed/32730853,https://www.ncbi.nlm.nih.gov/medgen/?term=C0235710
bradycardia,C0428977,"A slower than normal heart rate (in adults, slower than 60 beats per minute). [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0428977
syncope,C0039070,"Syncope refers to a generalized weakness of muscles with loss of postural tone, inability to stand upright, and loss of consciousness. Once the patient is in a horizontal position, blood flow to the brain is no longer hindered by gravitation and consciousness is regained. Unconsciousness usually lasts for seconds to minutes. Headache and drowsiness (which usually follow seizures) do not follow a syncopal attack. Syncope results from a sudden impairment of brain metabolism usually due to a reduction in cerebral blood flow. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0039070
pain,C0030193,"An unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030193
