disease,code,description,source_name,source_link,root_url
parkinson disease,C0030567,"Parkinson disease was first described by James Parkinson in 1817. It is the second most common neurodegenerative disorder after Alzheimer disease (AD; 104300), affecting approximately 1% of the population over age 50 (Polymeropoulos et al., 1996). Reviews Warner and Schapira (2003) reviewed the genetic and environmental causes of Parkinson disease. Feany (2004) reviewed the genetics of Parkinson disease and provided a speculative model of interactions among proteins implicated in PD. Lees et al. (2009) provided a review of Parkinson disease, with emphasis on diagnosis, neuropathology, and treatment. Genetic Heterogeneity of Parkinson Disease Several loci for autosomal dominant Parkinson disease have been identified, including PARK1 (168601) and PARK4, caused by mutation in or triplication of the alpha-synuclein gene (SNCA; 163890), respectively, on 4q22; PARK5 (191342), caused by mutation in the UCHL1 gene on 4p13; PARK8 (607060), caused by mutation in the LRRK2 gene (609007) on 12q12; PARK11 (607688), caused by mutation in the GIGYF2 gene (612003) on 2q37; PARK13 (610297), caused by mutation in the HTRA2 gene (606441) on 2p13; PARK17 (614203), caused by mutation in the VPS35 gene (601501) on 16q11; PARK18 (614251), caused by mutation in the EIF4G1 gene (600495) on 3q27; PARK22 (616710), caused by mutation in the CHCHD2 gene (616244) on chromosome 7p11.2; and PARK24 (619491), caused by mutation in the PSAP gene (176801) on chromosome 10q22. Several loci for autosomal recessive early-onset Parkinson disease have been identified: PARK2 (600116), caused by mutation in the gene encoding parkin (PARK2; 602544) on 6q26; PARK6 (605909), caused by mutation in the PINK1 gene (608309) on 1p36; PARK7 (606324), caused by mutation in the DJ1 gene (PARK7; 602533) on 1p36; PARK14 (612953), caused by mutation in the PLA2G6 gene (603604) on 22q13; PARK15 (260300), caused by mutation in the FBXO7 gene (605648) on 22q12-q13; PARK19A (615528) and PARK19B (see 615528), caused by mutation in the DNAJC6 gene (608375) on 1p32; PARK20 (615530), caused by mutation in the SYNJ1 gene (604297) on 21q22; and PARK23 (616840), caused by mutation in the VPS13C gene (608879) on chromosome 15q22. PARK3 (602404) has been mapped to chromosome 2p13; PARK10 (606852) has been mapped to chromosome 1p34-p32; PARK16 (613164) has been mapped to chromosome 1q32. See also PARK21 (616361). A locus on the X chromosome has been identified (PARK12; 300557). There is also evidence that mitochondrial mutations may cause or contribute to Parkinson disease (see 556500). Susceptibility to the development of the more common late-onset form of Parkinson disease has been associated with polymorphisms or mutations in several genes, including GBA (606463), MAPT (157140), MC1R (155555), ADH1C (103730), and genes at the HLA locus (see, e.g., HLA-DRA, 142860). Each of these risk factors independently may have a modest effect on disease development, but together may have a substantial cumulative effect (Hamza et al., 2010). Susceptibility to PD may also be conferred by expanded trinucleotide repeats in several genes causing other neurologic disorders usually characterized by spinocerebellar ataxia (SCA), including the ATXN2 (601517), ATXN3 (607047), TBP (600075), and ATXN8OS (603680) genes. [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030567
lymphoma,C0024299,A cancer originating in lymphocytes and presenting as a solid tumor of lymhpoid cells. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0024299
hyperglycemia,C0020456,An increased concentration of glucose in the blood. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020456
encephalopathy,C0085584,"Encephalopathy is a term that means brain disease, damage, or malfunction. In general, encephalopathy is manifested by an altered mental state. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085584
tricuspid valve insufficiency,C0040961,"Failure of the tricuspid valve to close sufficiently upon contraction of the right ventricle, causing blood to regurgitate (flow backward) into the right atrium. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0040961
Alzheimer's disease,C0002395,"Alzheimer disease is the most common form of progressive dementia in the elderly. It is a neurodegenerative disorder characterized by the neuropathologic findings of intracellular neurofibrillary tangles (NFT) and extracellular amyloid plaques that accumulate in vulnerable brain regions (Sennvik et al., 2000). Terry and Davies (1980) pointed out that the 'presenile' form, with onset before age 65, is identical to the most common form of late-onset or 'senile' dementia, and suggested the term 'senile dementia of the Alzheimer type' (SDAT). Haines (1991) reviewed the genetics of AD. Selkoe (1996) reviewed the pathophysiology, chromosomal loci, and pathogenetic mechanisms of Alzheimer disease. Theuns and Van Broeckhoven (2000) reviewed the transcriptional regulation of the genes involved in Alzheimer disease. Genetic Heterogeneity of Alzheimer Disease Alzheimer disease is a genetically heterogeneous disorder. See also AD2 (104310), associated with the APOE*4 allele (107741) on chromosome 19; AD3 (607822), caused by mutation in the presenilin-1 gene (PSEN1; 104311) on 14q; and AD4 (606889), caused by mutation in the PSEN2 gene (600759) on 1q31. There is evidence for additional AD loci on other chromosomes; see AD5 (602096) on 12p11; AD6 (605526) on 10q24; AD7 (606187) on 10p13; AD8 (607116) on 20p; AD9 (608907), associated with variation in the ABCA7 gene (605414) on 19p13; AD10 (609636) on 7q36; AD11 (609790) on 9q22; AD12 (611073) on 8p12-q22; AD13 (611152) on 1q21; AD14 (611154) on 1q25; AD15 (604154) on 3q22-q24; AD16 (300756) on Xq21.3; AD17 (615080) on 6p21.2; and AD18 (615590), associated with variation in the ADAM10 gene (602192) on 15q21. Evidence also suggests that mitochondrial DNA polymorphisms may be risk factors in Alzheimer disease (502500). Finally, there have been associations between AD and various polymorphisms in other genes, including alpha-2-macroglobulin (A2M; 103950.0005), low density lipoprotein-related protein-1 (LRP1; 107770), the transferrin gene (TF; 190000), the hemochromatosis gene (HFE; 613609), the NOS3 gene (163729), the vascular endothelial growth factor gene (VEGF; 192240), the ABCA2 gene (600047), and the TNF gene (191160) (see MOLECULAR GENETICS). [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0002395
candidiasis,C0006840,Infection with the organism Candida. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006840
oral candidiasis,C0006849,Infection of the mucosal lining of the mouth with the fungus Candida albicans. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006849
neuropathy,C0442874,"A disorder affecting the cranial nerves or the peripheral nervous system. It manifests with pain, tingling, numbness, and muscle weakness. It may be the result of physical injury, toxic substances, viral diseases, diabetes, renal failure, cancer, and drugs. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0442874
kidney disease,C0022658,A nonspecific term referring to disease or damage of the kidneys. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0022658
fibroid tumor,C0023267,"A well-circumscribed benign smooth muscle neoplasm characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0023267
glaucoma,C0017601,Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0017601
neoplasm metastasis,C0027627,The spread or migration of cancer cells from one part of the body (the organ in which it first appeared) to another. The secondary tumor contains cells that are like those in the original (primary) tumor. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027627
malignant tumor of colon,C0007102,"A primary or metastatic malignant neoplasm that affects the colon. Representative examples include carcinoma, lymphoma, and sarcoma. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0007102
carcinoma colon,C0699790,"Excerpted from the GeneReview: Lynch SyndromeLynch syndrome is characterized by an increased risk for colorectal cancer (CRC) and cancers of the endometrium, ovary, stomach, small bowel, urinary tract, biliary tract, brain (usually glioblastoma), skin (sebaceous adenomas, sebaceous carcinomas, and keratoacanthomas), pancreas, and prostate. Cancer risks and age of onset vary depending on the associated gene. Several other cancer types have been reported to occur in individuals with Lynch syndrome (e.g., breast, sarcomas, adrenocortical carcinoma). However, the data are not sufficient to demonstrate that the risk of developing these cancers is increased in individuals with Lynch syndrome. [from GeneReviews]Full text of GeneReview (by section):Summary  |  Diagnosis  |  Clinical Characteristics  |  Genetically Related (Allelic) Disorders  |  Differential Diagnosis  |  Management  |  Genetic Counseling  |  Resources  |  Molecular Genetics  |  Chapter Notes  |  ReferencesAuthors:
 Gregory Idos  |   Laura Valle   view full author information",Lynch Syndrome,/books/NBK1211,https://www.ncbi.nlm.nih.gov/medgen/?term=C0699790
ketoacidosis diabetic,C0011880,A type of diabetic metabolic abnormality with an accumulation of ketone bodies. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011880
tonic-clonic epilepsy,C0014549,A generalized tonic-clonic seizure. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0014549
tonic-clonic seizures,C0494475,"A bilateral tonic-clonic seizure is a seizure defined by a tonic (bilateral increased tone, lasting seconds to minutes) and then a clonic (bilateral sustained rhythmic jerking) phase. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0494475
malignant neoplasms,C0006826,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006826
respiratory failure,C1145670,A severe form of respiratory insufficiency characterized by inadequate gas exchange such that the levels of oxygen or carbon dioxide cannot be maintained within normal limits. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C1145670
melanoma,C0025202,"The presence of a melanoma, a malignant cancer originating from pigment producing melanocytes. Melanoma can originate from the skin or the pigmented layers of the eye (the uvea). [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0025202
gastroenteritis,C0017160,"An inflammatory disorder that affects the upper and lower gastrointestinal tract. Most commonly, this is attributed to viruses; however bacteria, parasites or adverse reactions can also be the culprit. Symptoms include acute diarrhea and vomiting. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0017160
malignant neoplasm of lung,C0242379,A primary or metastatic malignant neoplasm involving the lung. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0242379
carcinoma of lung,C0684249,"Lung cancer is the leading cause of cancer deaths in the U.S. and worldwide. The 2 major forms of lung cancer are nonsmall cell lung cancer and small cell lung cancer (see 182280), which account for 85% and 15% of all lung cancers, respectively. Nonsmall cell lung cancer can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. Cigarette smoking causes all types of lung cancer, but it is most strongly linked with small cell lung cancer and squamous cell carcinoma. Adenocarcinoma is the most common type in patients who have never smoked. Nonsmall cell lung cancer is often diagnosed at an advanced stage and has a poor prognosis (summary by Herbst et al., 2008). [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0684249
manic disorder,C0024713,The manic phase of bipolar disorder. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0024713
personality disorder,C0031212,An abnormality of mental functioning affecting the personality and behavioural tendencies of an individual and characterized by a rigid and unhealthy pattern of thinking and behavior. The definition of a personal disorder implies that the abnormality is not the result of damage or insult to the brain or from another psychiatric disorder. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0031212
primary carcinoma of the liver cells,C0019204,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019204
emphysema pulmonary,C0034067,"A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034067
hemorrhoids,C0019112,"Enlarged, bulging blood vessels in and around the anus often associated with rectal bleeding, itching, and pain. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019112
spasm bronchial,C0006266,"A spasm (sudden, involuntary constriction) of the bronchioles. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006266
aphasia,C0003537,An acquired language impairment of some or all of the abilities to produce or comprehend speech and to read or write. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0003537
obesity morbid,C0028756,"An excess of body weight, normally defined as an individual with a body mass index greater than 35 or a body weight greater than one hundred percent of ideal body weight. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0028756
pyelonephritis,C0034186,"An inflammation of the kidney involving the parenchyma of kidney, the renal pelvis and the kidney calices. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034186
endocarditis,C0014118,"An inflammation of the endocardium, the inner layer of the heart, which usually involves the heart valves. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0014118
effusion pericardial,C0031039,Accumulation of fluid within the pericardium. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0031039
pericardial effusion body substance,C1253937,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C1253937
chronic alcoholic intoxication,C0001973,"Alcohol use disorder is a diagnosis made when an individual has severe problems related to drinking alcohol. Alcohol use disorder can cause major health, social, and economic problems, and can endanger affected individuals and others through behaviors prompted by impaired decision-making and lowered inhibitions, such as aggression, unprotected sex, or driving while intoxicated.\n\nAlcohol use disorder is a broad diagnosis that encompasses several commonly used terms describing problems with drinking. It includes alcoholism, also called alcohol addiction, which is a long-lasting (chronic) condition characterized by a powerful, compulsive urge to drink alcohol and the inability to stop drinking after starting. In addition to alcoholism, alcohol use disorder includes alcohol abuse, which involves problem drinking without addiction.\n\nHabitual excessive use of alcohol changes the chemistry of the brain and leads to tolerance, which means that over time the amount of alcohol ingested needs to be increased to achieve the same effect. Long-term excessive use of alcohol may also produce dependence, which means that when people stop drinking, they have physical and psychological symptoms of withdrawal, such as sleep problems, irritability, jumpiness, shakiness, restlessness, headache, nausea, sweating, anxiety, and depression. In severe cases, agitation, fever, seizures, and hallucinations can occur; this pattern of severe withdrawal symptoms is called delirium tremens.\n\nThe heavy drinking that often occurs in alcohol use disorder, and can also occur in short-term episodes called binge drinking, can lead to a life-threatening overdose known as alcohol poisoning. Alcohol poisoning occurs when a large quantity of alcohol consumed over a short time causes problems with breathing, heart rate, body temperature, and the gag reflex. Signs and symptoms can include vomiting, choking, confusion, slow or irregular breathing, pale or blue-tinged skin, seizures, a low body temperature, a toxic buildup of substances called ketones in the blood (alcoholic ketoacidosis), and passing out (unconsciousness). Coma, brain damage, and death can occur if alcohol poisoning is not treated immediately.\n\nChronic heavy alcohol use can also cause long-term problems affecting many organs and systems of the body. These health problems include irreversible liver disease (cirrhosis), inflammation of the pancreas (pancreatitis), brain dysfunction (encephalopathy), nerve damage (neuropathy), high blood pressure (hypertension), stroke, weakening of the heart muscle (cardiomyopathy), irregular heartbeats (arrhythmia), and immune system problems. Long-term overuse of alcohol also increases the risk of certain cancers, including cancers of the mouth, throat, esophagus, liver, and breast. Alcohol use in pregnant women can cause birth defects and fetal alcohol syndrome, which can lead to lifelong physical and behavioral problems in the affected child. [from MedlinePlus Genetics]",MedlinePlus Genetics,https://medlineplus.gov/genetics/,https://www.ncbi.nlm.nih.gov/medgen/?term=C0001973
pneumothorax,C0032326,Accumulation of air in the pleural cavity leading to a partially or completely collapsed lung. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0032326
delirium,C0011206,A state of sudden and severe confusion. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011206
neutropenia,C0027947,A decrease in the number of NEUTROPHILS found in the blood. [from MeSH],MeSH,http://www.nlm.nih.gov/pubs/factsheets/mesh.html,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027947
hyperbilirubinemia,C0020433,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020433
influenza,C0021400,"An acute viral infection of the respiratory tract, occurring in isolated cases, in epidemics, or in pandemics; it is caused by serologically different strains of viruses (influenzaviruses) designated A, B, and C, has a 3-day incubation period, and usually lasts for 3 to 10 days. It is marked by inflammation of the nasal mucosa, pharynx, and conjunctiva; headache; myalgia; often fever, chills, and prostration; and occasionally involvement of the myocardium or central nervous system. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0021400
dependence,C0439857,The psychological or physiological need to take a substance in order to experience its effects or to avoid the effects of its absence. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0439857
thrombus,C0087086,"Etiology
Systemic Immune-Inflammation Index: A Novel Predictor of Coronary Thrombus Burden in Patients with Non-ST Acute Coronary Syndrome.
Özkan U,
Gürdoğan M,
Öztürk C,
Demir M,
Akkuş ÖF,
Yılmaz E,
Altay S
Medicina (Kaunas)
2022 Jan 18;58(2)
doi: 10.3390/medicina58020143.
PMID: 35208466Free PMC Article

Step-by-step and orderly lowering of the height of inferior vena cava tumor thrombus is the key to robot-assisted thrombectomy for Mayo III/IV tumor thrombus.
Zhao GD,
Zhang XP,
Hu MG,
Huang QB,
Xu S,
Wang BJ,
Ma X,
Zhang X,
Zou WB,
Zhang X,
Zhao ZM,
Tan XL,
Chou S,
Wang G,
Liu R
BMC Cancer
2022 Feb 7;22(1):151.
doi: 10.1186/s12885-022-09235-7.
PMID: 35130848Free PMC Article

Continuum modeling of thrombus formation and growth under different shear rates.
Rezaeimoghaddam M,
van de Vosse FN
J Biomech
2022 Feb;132:110915.
Epub 2022 Jan 4
doi: 10.1016/j.jbiomech.2021.110915.
PMID: 35032838

A New Score for Determining Thrombus Burden in STEMI Patients: The MAPH Score.
Abacioglu OO,
Yildirim A,
Karadeniz M,
Abacioglu S,
Koyunsever NY,
Dindas F,
Dogdus M,
Kaplangoray M
Clin Appl Thromb Hemost
2022 Jan-Dec;28:10760296211073767.
doi: 10.1177/10760296211073767.
PMID: 35018837Free PMC Article

Renal cell carcinoma with tumor thrombus growing against the direction of venous return: an indicator of complicated surgery and poor prognosis.
Liu Z,
Li Y,
Zhao X,
Ge L,
Zhu G,
Hong P,
Tang S,
Zhang S,
Tian X,
Wang S,
Liu C,
Zhang H,
Ma L
BMC Surg
2021 Dec 28;21(1):443.
doi: 10.1186/s12893-021-01448-0.
PMID: 34963464Free PMC Article
See all (12007)
Diagnosis
Systemic Immune-Inflammation Index: A Novel Predictor of Coronary Thrombus Burden in Patients with Non-ST Acute Coronary Syndrome.
Özkan U,
Gürdoğan M,
Öztürk C,
Demir M,
Akkuş ÖF,
Yılmaz E,
Altay S
Medicina (Kaunas)
2022 Jan 18;58(2)
doi: 10.3390/medicina58020143.
PMID: 35208466Free PMC Article

A New Score for Determining Thrombus Burden in STEMI Patients: The MAPH Score.
Abacioglu OO,
Yildirim A,
Karadeniz M,
Abacioglu S,
Koyunsever NY,
Dindas F,
Dogdus M,
Kaplangoray M
Clin Appl Thromb Hemost
2022 Jan-Dec;28:10760296211073767.
doi: 10.1177/10760296211073767.
PMID: 35018837Free PMC Article

Role of anticoagulation in the management of tumor thrombus: A 10-year single-center experience.
Agarwal S,
Mullikin D,
Scheurer ME,
Smith V,
Naik-Mathuria B,
Guillerman RP,
Foster JH,
Diaz R,
Sartain SE
Pediatr Blood Cancer
2021 Sep;68(9):e29173.
Epub 2021 Jun 1
doi: 10.1002/pbc.29173.
PMID: 34061441

Novel application of indocyanine green fluorescence imaging for real-time detection of thrombus in a membrane oxygenator.
Sakurai H,
Fujiwara T,
Ohuchi K,
Hijikata W,
Inoue Y,
Seki H,
Tahara T,
Yokota S,
Ogata A,
Mizuno T,
Arai H
Artif Organs
2021 Oct;45(10):1173-1182.
Epub 2021 Jun 12
doi: 10.1111/aor.13999.
PMID: 34037247

Polarimetric Signatures of Coronary Thrombus in Patients With Acute Coronary Syndrome.
van Zandvoort LJC,
Otsuka K,
Villiger M,
Neleman T,
Dijkstra J,
Zijlstra F,
van Mieghem NM,
Bouma BE,
Daemen J
Circ J
2021 Sep 24;85(10):1806-1813.
Epub 2021 Apr 7
doi: 10.1253/circj.CJ-20-0862.
PMID: 33828020
See all (10017)
Therapy
Thrombus-targeted nanoparticles for thrombin-triggered thrombolysis and local inflammatory microenvironment regulation.
Zhang H,
Qu H,
He Q,
Gao L,
Zhang H,
Wang Y,
Zhang Z,
Hou L
J Control Release
2021 Nov 10;339:195-207.
Epub 2021 Jun 29
doi: 10.1016/j.jconrel.2021.06.043.
PMID: 34214595

Role of anticoagulation in the management of tumor thrombus: A 10-year single-center experience.
Agarwal S,
Mullikin D,
Scheurer ME,
Smith V,
Naik-Mathuria B,
Guillerman RP,
Foster JH,
Diaz R,
Sartain SE
Pediatr Blood Cancer
2021 Sep;68(9):e29173.
Epub 2021 Jun 1
doi: 10.1002/pbc.29173.
PMID: 34061441

Novel application of indocyanine green fluorescence imaging for real-time detection of thrombus in a membrane oxygenator.
Sakurai H,
Fujiwara T,
Ohuchi K,
Hijikata W,
Inoue Y,
Seki H,
Tahara T,
Yokota S,
Ogata A,
Mizuno T,
Arai H
Artif Organs
2021 Oct;45(10):1173-1182.
Epub 2021 Jun 12
doi: 10.1111/aor.13999.
PMID: 34037247

Direct oral anticoagulants <i>vs.</i> vitamin K antagonists for left ventricular thrombus: a systematic review and meta-analysis.
Trongtorsak A,
Thangjui S,
Kewcharoen J,
Polpichai N,
Yodsuwan R,
Kittipibul V,
Friedman HJ,
Estrada AQ
Acta Cardiol
2021 Nov;76(9):933-942.
Epub 2021 Jan 4
doi: 10.1080/00015385.2020.1858538.
PMID: 33393861

The use of novel oral anticoagulants compared to vitamin K antagonists (warfarin) in patients with left ventricular thrombus after acute myocardial infarction.
Jones DA,
Wright P,
Alizadeh MA,
Fhadil S,
Rathod KS,
Guttmann O,
Knight C,
Timmis A,
Baumbach A,
Wragg A,
Mathur A,
Antoniou S
Eur Heart J Cardiovasc Pharmacother
2021 Sep 21;7(5):398-404.
doi: 10.1093/ehjcvp/pvaa096.
PMID: 32730627
See all (10895)
Prognosis
Systemic Immune-Inflammation Index: A Novel Predictor of Coronary Thrombus Burden in Patients with Non-ST Acute Coronary Syndrome.
Özkan U,
Gürdoğan M,
Öztürk C,
Demir M,
Akkuş ÖF,
Yılmaz E,
Altay S
Medicina (Kaunas)
2022 Jan 18;58(2)
doi: 10.3390/medicina58020143.
PMID: 35208466Free PMC Article

Continuum modeling of thrombus formation and growth under different shear rates.
Rezaeimoghaddam M,
van de Vosse FN
J Biomech
2022 Feb;132:110915.
Epub 2022 Jan 4
doi: 10.1016/j.jbiomech.2021.110915.
PMID: 35032838

A New Score for Determining Thrombus Burden in STEMI Patients: The MAPH Score.
Abacioglu OO,
Yildirim A,
Karadeniz M,
Abacioglu S,
Koyunsever NY,
Dindas F,
Dogdus M,
Kaplangoray M
Clin Appl Thromb Hemost
2022 Jan-Dec;28:10760296211073767.
doi: 10.1177/10760296211073767.
PMID: 35018837Free PMC Article

Renal cell carcinoma with tumor thrombus growing against the direction of venous return: an indicator of complicated surgery and poor prognosis.
Liu Z,
Li Y,
Zhao X,
Ge L,
Zhu G,
Hong P,
Tang S,
Zhang S,
Tian X,
Wang S,
Liu C,
Zhang H,
Ma L
BMC Surg
2021 Dec 28;21(1):443.
doi: 10.1186/s12893-021-01448-0.
PMID: 34963464Free PMC Article

Prevalence of left atrial appendage thrombus in patients with acute ischaemic stroke and sinus rhythm: a cross-sectional study.
Nguyen HT,
Nguyen HVB,
Nguyen HQ,
Le HQ
BMJ Open
2021 Dec 17;11(12):e051563.
doi: 10.1136/bmjopen-2021-051563.
PMID: 34921077Free PMC Article
See all (7357)
Clinical prediction guides
Decoding the multicellular ecosystem of vena caval tumor thrombus in clear cell renal cell carcinoma by single-cell RNA sequencing.
Shi Y,
Zhang Q,
Bi H,
Lu M,
Tan Y,
Zou D,
Ge L,
Chen Z,
Liu C,
Ci W,
Ma L
Genome Biol
2022 Mar 31;23(1):87.
doi: 10.1186/s13059-022-02651-9.
PMID: 35361264Free PMC Article

Systemic Immune-Inflammation Index: A Novel Predictor of Coronary Thrombus Burden in Patients with Non-ST Acute Coronary Syndrome.
Özkan U,
Gürdoğan M,
Öztürk C,
Demir M,
Akkuş ÖF,
Yılmaz E,
Altay S
Medicina (Kaunas)
2022 Jan 18;58(2)
doi: 10.3390/medicina58020143.
PMID: 35208466Free PMC Article

Continuum modeling of thrombus formation and growth under different shear rates.
Rezaeimoghaddam M,
van de Vosse FN
J Biomech
2022 Feb;132:110915.
Epub 2022 Jan 4
doi: 10.1016/j.jbiomech.2021.110915.
PMID: 35032838

A New Score for Determining Thrombus Burden in STEMI Patients: The MAPH Score.
Abacioglu OO,
Yildirim A,
Karadeniz M,
Abacioglu S,
Koyunsever NY,
Dindas F,
Dogdus M,
Kaplangoray M
Clin Appl Thromb Hemost
2022 Jan-Dec;28:10760296211073767.
doi: 10.1177/10760296211073767.
PMID: 35018837Free PMC Article

Role of Tyrosine Kinase Syk in Thrombus Stabilisation at High Shear.
Perrella G,
Montague SJ,
Brown HC,
Garcia Quintanilla L,
Slater A,
Stegner D,
Thomas M,
Heemskerk JWM,
Watson SP
Int J Mol Sci
2022 Jan 1;23(1)
doi: 10.3390/ijms23010493.
PMID: 35008919Free PMC Article
See all (7177)
",Systemic Immune-Inflammation Index: A Novel Predictor of Coronary Thrombus Burden in Patients with Non-ST Acute Coronary Syndrome.,/pubmed/35208466,https://www.ncbi.nlm.nih.gov/medgen/?term=C0087086
cholecystitis,C0008325,The presence of inflammatory changes in the gallbladder. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0008325
hernia hiatal,C0019291,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019291
