did,disease,syd,symptom,prediction
38,cardiomyopathy,44.0,dyspnea on exertion,0.033678506
44,hyperlipidemia,76.0,chest discomfort,0.03365139
83,hypertension pulmonary,176.0,neck stiffness,0.033527717
19,confusion,18.0,unresponsiveness,0.03343128
47,ischemia,128.0,drowsiness,0.03342963
43,psychotic disorder,28.0,motor retardation,0.0332524
76,gastritis,11.0,nausea,0.033221543
15,anemia,78.0,pain,0.03309281
54,bronchitis,45.0,chest tightness,0.033069246
87,hypoglycemia,18.0,unresponsiveness,0.032961257
37,epilepsy,90.0,lethargy,0.0328677
26,HIV,110.0,patient non compliance,0.032860074
53,arthritis,6.0,syncope,0.03284224
41,hepatitis C,117.0,ascites,0.032836147
39,chronic kidney failure,51.0,yellow sputum,0.032733478
36,embolism pulmonary,18.0,unresponsiveness,0.0326815
69,malignant neoplasm of breast,272.0,retropulsion,0.032677848
70,carcinoma breast,272.0,retropulsion,0.0326589
65,carcinoma prostate,4.0,asthenia,0.032578
24,primary malignant neoplasm,139.0,cushingoid facies,0.03253188
49,exanthema,78.0,pain,0.032525945
45,bipolar disorder,22.0,feeling suicidal,0.03248476
18,insufficiency renal,64.0,dyspnea,0.032393064
43,psychotic disorder,29.0,irritable mood,0.03236692
75,osteomyelitis,47.0,fever,0.03230382
40,carcinoma,98.0,tumor cell invasion,0.03212498
68,stenosis aortic valve,269.0,sciatica,0.032042347
104,fibroid tumor,2.0,shortness of breath,0.032018397
15,anemia,54.0,rhonchus,0.031937975
71,schizophrenia,32.0,hallucinations visual,0.031847987
40,carcinoma,56.0,non-productive cough,0.031745054
123,aphasia,67.0,facial paresis,0.031741906
18,insufficiency renal,83.0,diarrhea,0.031682774
56,osteoporosis,6.0,syncope,0.03167848
45,bipolar disorder,23.0,suicidal,0.031507306
19,confusion,121.0,muscle twitch,0.03149607
64,malignant neoplasm of prostate,4.0,asthenia,0.031462092
47,ischemia,9.0,sweating increased,0.03145794
46,obesity,134.0,has religious belief,0.03129044
44,hyperlipidemia,10.0,palpitation,0.031186933
67,lymphatic diseases,78.0,pain,0.031180078
35,neoplasm,138.0,lesion,0.031101681
68,stenosis aortic valve,76.0,chest discomfort,0.030984003
69,malignant neoplasm of breast,187.0,paresthesia,0.030958768
70,carcinoma breast,187.0,paresthesia,0.030935641
113,melanoma,47.0,fever,0.030886237
95,lymphoma,47.0,fever,0.030863626
75,osteomyelitis,280.0,prostate tender,0.030838728
76,gastritis,102.0,heme positive,0.030725654
61,incontinence,4.0,asthenia,0.030633036
48,cirrhosis,138.0,lesion,0.030543204
17,dementia,24.0,hallucinations auditory,0.030500242
82,hepatitis,82.0,pruritus,0.030400958
80,failure heart,16.0,orthopnea,0.030395415
48,cirrhosis,92.0,hemodynamically stable,0.030366251
11,myocardial infarction,76.0,chest discomfort,0.030357258
55,hemiparesis,66.0,speech slurred,0.03022842
82,hepatitis,53.0,chill,0.03016646
21,hypothyroidism,34.0,agitation,0.030157503
56,osteoporosis,126.0,numbness of hand,0.030028488
44,hyperlipidemia,3.0,dizziness,0.03001919
29,gastroesophageal reflux disease,91.0,hyponatremia,0.029949645
43,psychotic disorder,30.0,blackout,0.029926248
35,neoplasm,133.0,mass of body structure,0.029917708
36,embolism pulmonary,176.0,neck stiffness,0.02987066
70,carcinoma breast,133.0,mass of body structure,0.029792923
69,malignant neoplasm of breast,133.0,mass of body structure,0.029771168
31,systemic infection,18.0,unresponsiveness,0.02973282
93,hepatitis B,60.0,tachypnea,0.029718772
44,hyperlipidemia,68.0,hemiplegia,0.02965836
3,depression mental,41.0,unable to concentrate,0.02964991
15,anemia,99.0,haemorrhage,0.029503934
50,benign prostatic hypertrophy,59.0,distress respiratory,0.029481623
65,carcinoma prostate,87.0,dysuria,0.029432751
4,depressive disorder,41.0,unable to concentrate,0.02941967
29,gastroesophageal reflux disease,162.0,sensory discomfort,0.029394457
29,gastroesophageal reflux disease,4.0,asthenia,0.029344782
85,gout,78.0,pain,0.029309977
62,paroxysmal dyspnea,46.0,cough,0.029247675
38,cardiomyopathy,64.0,dyspnea,0.029212862
78,failure kidney,2.0,shortness of breath,0.029210899
45,bipolar disorder,25.0,feeling hopeless,0.029176114
76,gastritis,283.0,disequilibrium,0.02916115
34,dehydration,19.0,mental status changes,0.02914415
33,deep vein thrombosis,56.0,non-productive cough,0.029090313
83,hypertension pulmonary,118.0,hypotension,0.029008582
30,septicemia,18.0,unresponsiveness,0.028945819
71,schizophrenia,34.0,agitation,0.028918957
59,paranoia,29.0,irritable mood,0.02887284
52,mitral valve insufficiency,64.0,dyspnea,0.028823642
56,osteoporosis,7.0,vertigo,0.02879755
22,anxiety state,33.0,worry,0.028767953
31,systemic infection,17.0,rale,0.028760504
77,bacteremia,47.0,fever,0.028756281
22,anxiety state,34.0,agitation,0.028682042
98,tricuspid valve insufficiency,78.0,pain,0.028632725
40,carcinoma,187.0,paresthesia,0.028616067
39,chronic kidney failure,115.0,hyperkalemia,0.028583918
29,gastroesophageal reflux disease,127.0,general discomfort,0.028580816
52,mitral valve insufficiency,44.0,dyspnea on exertion,0.028453317
21,hypothyroidism,122.0,sleepy,0.028451629
45,bipolar disorder,26.0,weepiness,0.028419612
29,gastroesophageal reflux disease,1.0,pain chest,0.028382836
63,hernia,11.0,nausea,0.028320663
18,insufficiency renal,39.0,difficulty,0.028255915
57,transient ischemic attack,67.0,facial paresis,0.02813618
34,dehydration,3.0,dizziness,0.028029742
68,stenosis aortic valve,2.0,shortness of breath,0.028020555
32,sepsis (invertebrate),18.0,unresponsiveness,0.02796513
11,myocardial infarction,77.0,bradycardia,0.027958117
50,benign prostatic hypertrophy,62.0,night sweat,0.02790747
45,bipolar disorder,24.0,hallucinations auditory,0.027841596
29,gastroesophageal reflux disease,11.0,nausea,0.027809089
82,hepatitis,117.0,ascites,0.02780578
49,exanthema,138.0,lesion,0.027801907
102,neuropathy,4.0,asthenia,0.027746106
60,pancreatitis,251.0,stool color yellow,0.027645627
98,tricuspid valve insufficiency,47.0,fever,0.027618667
40,carcinoma,138.0,lesion,0.027521584
56,osteoporosis,190.0,distended abdomen,0.027449988
71,schizophrenia,33.0,worry,0.027448457
78,failure kidney,119.0,enuresis,0.02742736
51,kidney failure acute,18.0,unresponsiveness,0.027414616
48,cirrhosis,148.0,pain abdominal,0.02738664
7,pneumonia,61.0,malaise,0.027359914
52,mitral valve insufficiency,10.0,palpitation,0.027333608
82,hepatitis,150.0,spontaneous rupture of membranes,0.027261639
20,degenerative polyarthritis,129.0,stiffness,0.027102403
39,chronic kidney failure,45.0,chest tightness,0.027096402
75,osteomyelitis,85.0,swelling,0.027086647
63,hernia,257.0,hyperventilation,0.027077205
35,neoplasm,160.0,satiety early,0.027034413
66,edema pulmonary,17.0,rale,0.02701785
40,carcinoma,142.0,decreased body weight,0.026997566
80,failure heart,63.0,jugular venous distention,0.026939273
62,paroxysmal dyspnea,9.0,sweating increased,0.026926557
85,gout,43.0,hypokinesia,0.026852325
35,neoplasm,142.0,decreased body weight,0.026816519
18,insufficiency renal,43.0,hypokinesia,0.026767265
45,bipolar disorder,27.0,sleeplessness,0.026721608
59,paranoia,30.0,blackout,0.026702054
43,psychotic disorder,31.0,mood depressed,0.026691778
57,transient ischemic attack,7.0,vertigo,0.026596675
42,peripheral vascular disease,21.0,labored breathing,0.026571138
106,neoplasm metastasis,98.0,tumor cell invasion,0.026521727
47,ischemia,212.0,asymptomatic,0.026521223
49,exanthema,154.0,redness,0.02649274
73,overload fluid,115.0,hyperkalemia,0.026486192
61,incontinence,179.0,aura,0.026383275
47,ischemia,76.0,chest discomfort,0.026369914
22,anxiety state,134.0,has religious belief,0.026310634
49,exanthema,85.0,swelling,0.026246566
35,neoplasm,62.0,night sweat,0.026183907
54,bronchitis,57.0,wheezing,0.02616585
39,chronic kidney failure,53.0,chill,0.02615551
65,carcinoma prostate,88.0,hematuria,0.026115786
61,incontinence,69.0,seizure,0.026110493
113,melanoma,78.0,pain,0.026008116
85,gout,85.0,swelling,0.025857935
66,edema pulmonary,1.0,pain chest,0.025856115
58,adenocarcinoma,138.0,lesion,0.025854945
57,transient ischemic attack,6.0,syncope,0.025839321
83,hypertension pulmonary,52.0,breath sounds decreased,0.025822615
70,carcinoma breast,138.0,lesion,0.025779406
69,malignant neoplasm of breast,138.0,lesion,0.025721781
85,gout,137.0,hot flush,0.02569674
125,pyelonephritis,47.0,fever,0.02568196
125,pyelonephritis,47.0,fever,0.02568196
58,adenocarcinoma,78.0,pain,0.025605403
86,thrombocytopaenia,82.0,pruritus,0.025599629
43,psychotic disorder,32.0,hallucinations visual,0.025556918
87,hypoglycemia,220.0,"hypothermia, natural",0.025374651
36,embolism pulmonary,59.0,distress respiratory,0.025357733
73,overload fluid,128.0,drowsiness,0.025308572
30,septicemia,17.0,rale,0.025163066
102,neuropathy,78.0,pain,0.025160946
63,hernia,258.0,excruciating pain,0.02514312
37,epilepsy,122.0,sleepy,0.02506905
76,gastritis,78.0,pain,0.025029425
21,hypothyroidism,101.0,fatigue,0.024979856
67,lymphatic diseases,85.0,swelling,0.02494134
19,confusion,122.0,sleepy,0.024750294
74,ulcer peptic,148.0,pain abdominal,0.024732016
58,adenocarcinoma,160.0,satiety early,0.024726417
56,osteoporosis,130.0,prostatism,0.02469807
66,edema pulmonary,2.0,shortness of breath,0.024623545
19,confusion,35.0,tremor,0.024546564
31,systemic infection,99.0,haemorrhage,0.024503138
21,hypothyroidism,39.0,difficulty,0.024494048
72,diverticulitis,47.0,fever,0.024462057
74,ulcer peptic,20.0,vomiting,0.024372187
39,chronic kidney failure,18.0,unresponsiveness,0.02437136
84,deglutition disorder,4.0,asthenia,0.024367658
77,bacteremia,48.0,decreased translucency,0.024353202
128,pericardial effusion body substance,2.0,shortness of breath,0.02432838
60,pancreatitis,252.0,rigor - temperature-associated observation,0.024311244
32,sepsis (invertebrate),17.0,rale,0.024302643
64,malignant neoplasm of prostate,87.0,dysuria,0.02426833
17,dementia,113.0,abdominal tenderness,0.024254885
70,carcinoma breast,85.0,swelling,0.024218824
30,septicemia,99.0,haemorrhage,0.024182819
69,malignant neoplasm of breast,85.0,swelling,0.024174904
61,incontinence,5.0,fall,0.0241545
41,hepatitis C,120.0,asterixis,0.02414743
21,hypothyroidism,118.0,hypotension,0.02410865
18,insufficiency renal,52.0,breath sounds decreased,0.024104811
114,gastroenteritis,47.0,fever,0.024090195
22,anxiety state,35.0,tremor,0.024086282
67,lymphatic diseases,133.0,mass of body structure,0.024047492
65,carcinoma prostate,17.0,rale,0.023953788
127,effusion pericardial,2.0,shortness of breath,0.023859657
75,osteomyelitis,80.0,erythema,0.02381383
40,carcinoma,11.0,nausea,0.023765411
59,paranoia,31.0,mood depressed,0.023756213
94,parkinson disease,5.0,fall,0.023711385
81,upper respiratory infection,2.0,shortness of breath,0.02368905
34,dehydration,20.0,vomiting,0.023687378
42,peripheral vascular disease,170.0,anorexia,0.023662275
115,malignant neoplasm of lung,2.0,shortness of breath,0.023594812
62,paroxysmal dyspnea,8.0,sweat,0.023573745
32,sepsis (invertebrate),99.0,haemorrhage,0.02355628
88,pneumonia aspiration,48.0,decreased translucency,0.023547968
103,kidney disease,47.0,fever,0.023515286
19,confusion,65.0,dysarthria,0.023469627
74,ulcer peptic,263.0,polymyalgia,0.02344498
45,bipolar disorder,28.0,motor retardation,0.023384966
34,dehydration,83.0,diarrhea,0.023344183
82,hepatitis,59.0,distress respiratory,0.023337938
72,diverticulitis,87.0,dysuria,0.023332901
45,bipolar disorder,29.0,irritable mood,0.023324134
109,ketoacidosis diabetic,11.0,nausea,0.023312772
18,insufficiency renal,86.0,apyrexial,0.02330294
88,pneumonia aspiration,47.0,fever,0.023296759
42,peripheral vascular disease,122.0,sleepy,0.023296509
22,anxiety state,78.0,pain,0.023262255
93,hepatitis B,327.0,poor feeding,0.02323951
136,thrombus,43.0,hypokinesia,0.023221623
63,hernia,259.0,gag,0.023209035
35,neoplasm,148.0,pain abdominal,0.023185184
22,anxiety state,135.0,nervousness,0.023106521
58,adenocarcinoma,133.0,mass of body structure,0.023062762
15,anemia,85.0,swelling,0.023058891
89,colitis,78.0,pain,0.023052411
136,thrombus,2.0,shortness of breath,0.023034297
148,decubitus ulcer,300.0,frail,0.023024417
83,hypertension pulmonary,183.0,left atrial hypertrophy,0.022992227
74,ulcer peptic,239.0,out of breath,0.022982094
34,dehydration,6.0,syncope,0.022977535
34,dehydration,6.0,syncope,0.022977535
87,hypoglycemia,311.0,lameness,0.022972714
54,bronchitis,49.0,productive cough,0.022956898
37,epilepsy,181.0,gurgle,0.022932967
97,encephalopathy,128.0,drowsiness,0.022820517
59,paranoia,32.0,hallucinations visual,0.022772355
29,gastroesophageal reflux disease,10.0,palpitation,0.022750106
98,tricuspid valve insufficiency,11.0,nausea,0.022735422
40,carcinoma,143.0,hoarseness,0.022684313
125,pyelonephritis,88.0,hematuria,0.022557694
85,gout,154.0,redness,0.022541896
53,arthritis,221.0,atypia,0.022538401
54,bronchitis,53.0,chill,0.02249985
15,anemia,105.0,arthralgia,0.022435673
21,hypothyroidism,131.0,weight gain,0.022417054
104,fibroid tumor,47.0,fever,0.022384401
58,adenocarcinoma,245.0,decreased stool caliber,0.022365348
29,gastroesophageal reflux disease,163.0,constipation,0.022353582
66,edema pulmonary,9.0,sweating increased,0.02231481
78,failure kidney,118.0,hypotension,0.022307932
58,adenocarcinoma,142.0,decreased body weight,0.022271207
46,obesity,31.0,mood depressed,0.022220116
33,deep vein thrombosis,168.0,clonus,0.022151712
40,carcinoma,83.0,diarrhea,0.022148829
34,dehydration,162.0,sensory discomfort,0.022107992
26,HIV,22.0,feeling suicidal,0.021934323
50,benign prostatic hypertrophy,19.0,mental status changes,0.021860842
56,osteoporosis,236.0,hirsutism,0.021784723
64,malignant neoplasm of prostate,17.0,rale,0.021757253
66,edema pulmonary,8.0,sweat,0.0216649
43,psychotic disorder,33.0,worry,0.021655075
64,malignant neoplasm of prostate,88.0,hematuria,0.021624977
45,bipolar disorder,30.0,blackout,0.021581352
76,gastritis,148.0,pain abdominal,0.021549758
87,hypoglycemia,111.0,unconscious state,0.02154918
117,manic disorder,22.0,feeling suicidal,0.021495814
117,manic disorder,22.0,feeling suicidal,0.021495814
35,neoplasm,144.0,thicken,0.021495156
70,carcinoma breast,159.0,burning sensation,0.021492384
114,gastroenteritis,11.0,nausea,0.021488138
89,colitis,53.0,chill,0.021455372
21,hypothyroidism,40.0,nightmare,0.021451935
93,hepatitis B,148.0,pain abdominal,0.021394253
29,gastroesophageal reflux disease,148.0,pain abdominal,0.021371923
69,malignant neoplasm of breast,159.0,burning sensation,0.021342501
66,edema pulmonary,116.0,urgency of micturition,0.021305762
60,pancreatitis,86.0,apyrexial,0.021284165
43,psychotic disorder,34.0,agitation,0.02125178
93,hepatitis B,302.0,projectile vomiting,0.021214934
67,lymphatic diseases,62.0,night sweat,0.021181086
113,melanoma,253.0,paraparesis,0.021158142
140,pancytopenia,398.0,hypoproteinemia,0.02115073
130,pneumothorax,64.0,dyspnea,0.021123609
71,schizophrenia,37.0,verbal auditory hallucinations,0.021052115
76,gastritis,20.0,vomiting,0.020974088
50,benign prostatic hypertrophy,65.0,dysarthria,0.020959163
67,lymphatic diseases,53.0,chill,0.02094369
25,acquired immuno-deficiency syndrome,152.0,muscle hypotonia,0.02089115
39,chronic kidney failure,19.0,mental status changes,0.020873869
79,sickle cell anemia,148.0,pain abdominal,0.020860855
51,kidney failure acute,99.0,haemorrhage,0.020793663
115,malignant neoplasm of lung,4.0,asthenia,0.02076438
47,ischemia,17.0,rale,0.020719642
72,diverticulitis,78.0,pain,0.02070858
70,carcinoma breast,39.0,difficulty,0.020681957
39,chronic kidney failure,85.0,swelling,0.020674521
69,malignant neoplasm of breast,39.0,difficulty,0.02067119
113,melanoma,133.0,mass of body structure,0.020668222
113,melanoma,271.0,mass in breast,0.020650495
117,manic disorder,23.0,suicidal,0.020649297
117,manic disorder,23.0,suicidal,0.020649297
39,chronic kidney failure,83.0,diarrhea,0.020607132
77,bacteremia,18.0,unresponsiveness,0.020588
102,neuropathy,70.0,numbness,0.020558797
62,paroxysmal dyspnea,10.0,palpitation,0.020484025
61,incontinence,6.0,syncope,0.020455223
40,carcinoma,173.0,metastatic lesion,0.020378122
106,neoplasm metastasis,125.0,food intolerance,0.020320399
94,parkinson disease,6.0,syncope,0.020299187
82,hepatitis,148.0,pain abdominal,0.020280935
26,HIV,152.0,muscle hypotonia,0.020221094
35,neoplasm,173.0,metastatic lesion,0.020210134
47,ischemia,195.0,sinus rhythm,0.020189704
56,osteoporosis,78.0,pain,0.020178374
22,anxiety state,10.0,palpitation,0.020176435
91,suicide attempt,23.0,suicidal,0.020125734
89,colitis,11.0,nausea,0.020108458
82,hepatitis,60.0,tachypnea,0.02009942
21,hypothyroidism,19.0,mental status changes,0.02009612
89,colitis,92.0,hemodynamically stable,0.020087497
27,hiv infections,152.0,muscle hypotonia,0.020034783
29,gastroesophageal reflux disease,9.0,sweating increased,0.020034287
65,carcinoma prostate,98.0,tumor cell invasion,0.02001065
19,confusion,19.0,mental status changes,0.019939806
77,bacteremia,284.0,flushing,0.019875206
63,hernia,4.0,asthenia,0.019802142
40,carcinoma,144.0,thicken,0.019753883
15,anemia,95.0,guaiac positive,0.01975236
58,adenocarcinoma,246.0,hematochezia,0.01972702
107,malignant tumor of colon,127.0,general discomfort,0.019694297
87,hypoglycemia,312.0,claudication,0.019690897
21,hypothyroidism,28.0,motor retardation,0.019688852
47,ischemia,64.0,dyspnea,0.01959717
28,cellulitis,157.0,scratch marks,0.019550696
139,migraine disorders,47.0,fever,0.019467434
21,hypothyroidism,133.0,mass of body structure,0.019457966
112,respiratory failure,2.0,shortness of breath,0.019457579
56,osteoporosis,238.0,bradykinesia,0.01941416
18,insufficiency renal,118.0,hypotension,0.01939057
18,insufficiency renal,95.0,guaiac positive,0.019361116
34,dehydration,118.0,hypotension,0.019346822
55,hemiparesis,67.0,facial paresis,0.01931629
106,neoplasm metastasis,78.0,pain,0.019289533
46,obesity,211.0,systolic murmur,0.019278271
55,hemiparesis,68.0,hemiplegia,0.01925332
83,hypertension pulmonary,165.0,cyanosis,0.019251399
82,hepatitis,20.0,vomiting,0.019174395
117,manic disorder,25.0,feeling hopeless,0.01916924
54,bronchitis,64.0,dyspnea,0.01915914
61,incontinence,253.0,paraparesis,0.019147057
46,obesity,210.0,overweight,0.019130278
59,paranoia,34.0,agitation,0.019124815
34,dehydration,170.0,anorexia,0.019068025
85,gout,141.0,emphysematous change,0.019040406
18,insufficiency renal,85.0,swelling,0.018982364
61,incontinence,35.0,tremor,0.018975984
46,obesity,97.0,ecchymosis,0.018845158
102,neuropathy,316.0,awakening early,0.01883949
66,edema pulmonary,115.0,hyperkalemia,0.018821094
42,peripheral vascular disease,158.0,sore to touch,0.018800631
52,mitral valve insufficiency,78.0,pain,0.018794281
49,exanthema,105.0,arthralgia,0.018778423
111,tonic-clonic seizures,128.0,drowsiness,0.01877435
123,aphasia,121.0,muscle twitch,0.018741287
122,spasm bronchial,2.0,shortness of breath,0.018707154
40,carcinoma,186.0,unhappy,0.018680682
36,embolism pulmonary,177.0,cicatrisation,0.018670516
97,encephalopathy,120.0,asterixis,0.018658303
21,hypothyroidism,20.0,vomiting,0.018630765
77,bacteremia,53.0,chill,0.018616464
117,manic disorder,24.0,hallucinations auditory,0.018604776
105,glaucoma,91.0,hyponatremia,0.018597594
105,glaucoma,114.0,unsteady gait,0.018590752
58,adenocarcinoma,163.0,constipation,0.018569738
61,incontinence,111.0,unconscious state,0.018568208
39,chronic kidney failure,20.0,vomiting,0.018561458
124,obesity morbid,46.0,cough,0.018542284
91,suicide attempt,24.0,hallucinations auditory,0.018507175
44,hyperlipidemia,200.0,giddy mood,0.0185066
53,arthritis,222.0,general unsteadiness,0.01850391
57,transient ischemic attack,233.0,Stahli's line,0.018452562
14,infection urinary tract,94.0,consciousness clear,0.018425304
38,cardiomyopathy,183.0,left atrial hypertrophy,0.018421585
100,candidiasis,53.0,chill,0.018398821
70,carcinoma breast,64.0,dyspnea,0.018360756
29,gastroesophageal reflux disease,8.0,sweat,0.018347524
54,bronchitis,62.0,night sweat,0.018345661
104,fibroid tumor,347.0,para 2,0.018342208
67,lymphatic diseases,142.0,decreased body weight,0.018329116
78,failure kidney,18.0,unresponsiveness,0.018310746
68,stenosis aortic valve,270.0,frothy sputum,0.018309915
69,malignant neoplasm of breast,64.0,dyspnea,0.018306823
45,bipolar disorder,32.0,hallucinations visual,0.018285308
78,failure kidney,184.0,oliguria,0.018278318
91,suicide attempt,26.0,weepiness,0.018248828
116,carcinoma of lung,2.0,shortness of breath,0.018242085
36,embolism pulmonary,60.0,tachypnea,0.018230712
43,psychotic disorder,35.0,tremor,0.018216895
61,incontinence,18.0,unresponsiveness,0.018153543
77,bacteremia,190.0,distended abdomen,0.018134845
54,bronchitis,142.0,decreased body weight,0.018093538
116,carcinoma of lung,46.0,cough,0.01800261
84,deglutition disorder,304.0,titubation,0.01788909
75,osteomyelitis,84.0,abscess bacterial,0.01782995
39,chronic kidney failure,184.0,oliguria,0.017787183
129,chronic alcoholic intoxication,22.0,feeling suicidal,0.017771576
101,oral candidiasis,53.0,chill,0.017758211
139,migraine disorders,70.0,numbness,0.017732073
58,adenocarcinoma,148.0,pain abdominal,0.017724402
125,pyelonephritis,78.0,pain,0.017715275
36,embolism pulmonary,50.0,pleuritic pain,0.017705731
67,lymphatic diseases,138.0,lesion,0.017679472
85,gout,117.0,ascites,0.017669277
135,dependence,23.0,suicidal,0.017652713
76,gastritis,142.0,decreased body weight,0.017629402
67,lymphatic diseases,56.0,non-productive cough,0.017578995
67,lymphatic diseases,154.0,redness,0.017570676
94,parkinson disease,67.0,facial paresis,0.017568491
87,hypoglycemia,14.0,polyuria,0.017563883
86,thrombocytopaenia,101.0,fatigue,0.017506361
63,hernia,148.0,pain abdominal,0.017480444
3,depression mental,42.0,homelessness,0.017468968
86,thrombocytopaenia,118.0,hypotension,0.017459078
28,cellulitis,158.0,sore to touch,0.017439995
105,glaucoma,190.0,distended abdomen,0.01742989
4,depressive disorder,42.0,homelessness,0.017427387
90,diverticulosis,102.0,heme positive,0.017366504
90,diverticulosis,84.0,abscess bacterial,0.017356686
76,gastritis,99.0,haemorrhage,0.017313695
41,hepatitis C,110.0,patient non compliance,0.017304715
90,diverticulosis,318.0,fecaluria,0.017290719
111,tonic-clonic seizures,98.0,tumor cell invasion,0.017282983
82,hepatitis,302.0,projectile vomiting,0.01725684
55,hemiparesis,18.0,unresponsiveness,0.017231837
75,osteomyelitis,93.0,difficulty passing urine,0.017217118
79,sickle cell anemia,55.0,green sputum,0.017211953
113,melanoma,82.0,pruritus,0.017206315
86,thrombocytopaenia,99.0,haemorrhage,0.017178688
79,sickle cell anemia,81.0,hepatosplenomegaly,0.017137568
64,malignant neoplasm of prostate,7.0,vertigo,0.017133811
115,malignant neoplasm of lung,46.0,cough,0.017127553
81,upper respiratory infection,46.0,cough,0.017093632
74,ulcer peptic,135.0,nervousness,0.01705851
48,cirrhosis,95.0,guaiac positive,0.01702819
65,carcinoma prostate,7.0,vertigo,0.016985573
47,ischemia,77.0,bradycardia,0.016983323
147,affect labile,25.0,feeling hopeless,0.016976327
81,upper respiratory infection,47.0,fever,0.01697443
90,diverticulosis,11.0,nausea,0.016973363
91,suicide attempt,27.0,sleeplessness,0.016942
64,malignant neoplasm of prostate,98.0,tumor cell invasion,0.016899493
60,pancreatitis,158.0,sore to touch,0.016896356
19,confusion,124.0,lightheadedness,0.016877526
86,thrombocytopaenia,60.0,tachypnea,0.016817432
108,carcinoma colon,127.0,general discomfort,0.016813986
129,chronic alcoholic intoxication,23.0,suicidal,0.016813789
40,carcinoma,163.0,constipation,0.01679666
97,encephalopathy,179.0,aura,0.016772304
116,carcinoma of lung,4.0,asthenia,0.01675871
106,neoplasm metastasis,133.0,mass of body structure,0.016750263
50,benign prostatic hypertrophy,170.0,anorexia,0.016742375
71,schizophrenia,110.0,patient non compliance,0.016715005
38,cardiomyopathy,110.0,patient non compliance,0.016714845
140,pancytopenia,101.0,fatigue,0.01670545
45,bipolar disorder,34.0,agitation,0.016677542
29,gastroesophageal reflux disease,78.0,pain,0.01666997
75,osteomyelitis,154.0,redness,0.016658923
97,encephalopathy,18.0,unresponsiveness,0.01665865
85,gout,110.0,patient non compliance,0.01658715
55,hemiparesis,128.0,drowsiness,0.016536675
53,arthritis,190.0,distended abdomen,0.016456896
92,Pneumocystis carinii pneumonia,51.0,yellow sputum,0.016432779
141,cholelithiasis,11.0,nausea,0.016423486
58,adenocarcinoma,247.0,egophony,0.01641449
79,sickle cell anemia,224.0,snuffle,0.016406287
67,lymphatic diseases,156.0,hyperacusis,0.016403427
139,migraine disorders,11.0,nausea,0.01638319
19,confusion,123.0,headache,0.016359985
43,psychotic disorder,36.0,intoxication,0.016352214
78,failure kidney,289.0,slowing of urinary stream,0.016329749
135,dependence,25.0,feeling hopeless,0.016270002
105,glaucoma,111.0,unconscious state,0.01624751
38,cardiomyopathy,101.0,fatigue,0.01624596
90,diverticulosis,78.0,pain,0.016238164
116,carcinoma of lung,48.0,decreased translucency,0.016214956
87,hypoglycemia,265.0,qt interval prolonged,0.016149148
123,aphasia,228.0,aphagia,0.016136013
147,affect labile,27.0,sleeplessness,0.016067192
52,mitral valve insufficiency,183.0,left atrial hypertrophy,0.01599942
11,myocardial infarction,74.0,t wave inverted,0.015995378
133,hyperbilirubinemia,60.0,tachypnea,0.01596844
78,failure kidney,112.0,bedridden,0.015936295
78,failure kidney,112.0,bedridden,0.015936295
36,embolism pulmonary,56.0,non-productive cough,0.015925476
43,psychotic disorder,37.0,verbal auditory hallucinations,0.015909107
103,kidney disease,115.0,hyperkalemia,0.01590492
110,tonic-clonic epilepsy,128.0,drowsiness,0.015900685
22,anxiety state,39.0,difficulty,0.01582976
90,diverticulosis,83.0,diarrhea,0.015828386
73,overload fluid,190.0,distended abdomen,0.015803482
95,lymphoma,138.0,lesion,0.015769977
47,ischemia,122.0,sleepy,0.015767248
76,gastritis,36.0,intoxication,0.01574241
69,malignant neoplasm of breast,273.0,estrogen use,0.015716258
70,carcinoma breast,273.0,estrogen use,0.015712721
129,chronic alcoholic intoxication,25.0,feeling hopeless,0.015649697
45,bipolar disorder,33.0,worry,0.01563225
77,bacteremia,286.0,urinoma,0.0156162325
129,chronic alcoholic intoxication,24.0,hallucinations auditory,0.0155383125
142,biliary calculus,11.0,nausea,0.015526245
104,fibroid tumor,348.0,abortion,0.015520332
81,upper respiratory infection,48.0,decreased translucency,0.015515912
88,pneumonia aspiration,46.0,cough,0.015515736
74,ulcer peptic,86.0,apyrexial,0.015484468
72,diverticulitis,116.0,urgency of micturition,0.015451793
34,dehydration,30.0,blackout,0.015421243
54,bronchitis,223.0,throat sore,0.015402216
91,suicide attempt,28.0,motor retardation,0.015353134
125,pyelonephritis,53.0,chill,0.015351271
125,pyelonephritis,53.0,chill,0.015351271
51,kidney failure acute,220.0,"hypothermia, natural",0.015343616
22,anxiety state,137.0,hot flush,0.015259394
82,hepatitis,170.0,anorexia,0.015227786
78,failure kidney,130.0,prostatism,0.0152258165
55,hemiparesis,233.0,Stahli's line,0.015164394
140,pancytopenia,140.0,cushingoid habitus,0.015129531
94,parkinson disease,68.0,hemiplegia,0.015101771
125,pyelonephritis,11.0,nausea,0.015096327
88,pneumonia aspiration,68.0,hemiplegia,0.015096021
95,lymphoma,329.0,welt,0.015092605
130,pneumothorax,46.0,cough,0.015055836
66,edema pulmonary,267.0,Heberden's node,0.01503936
36,embolism pulmonary,86.0,apyrexial,0.015003589
73,overload fluid,122.0,sleepy,0.014974991
